transaction_id,customer_id,transaction_date,amount_gbp,category
2076,1100,2023-08-25,-666.85,Salary
2077,1328,2023-08-15,4878.15,Transfer
2078,1190,2023-06-30,3653.83,Shopping
2079,1035,2023-11-13,2968.81,Utilities
2080,1147,2023-02-15,2740.12,Rent
2081,1030,2023-12-07,2109.18,Dining
2082,1334,2023-03-21,3044.69,Rent
2083,1084,2023-05-15,953.34,Utilities
2084,1369,2023-09-17,3917.02,Groceries
2085,1281,2023-11-04,2874.42,Transfer
2086,1424,2023-09-04,3398.77,Utilities
2087,1344,2023-06-08,3547.41,Salary
2088,1270,2023-07-22,-1355.51,Shopping
2089,1154,2023-04-22,-1610.51,Shopping
2090,1102,2023-10-19,3606.9,Dining
2091,1215,2023-11-06,-184.31,Dining
2092,1150,2023-04-29,2073.79,Rent
2093,1432,2023-01-17,1105.98,Utilities
2094,1083,2023-11-27,-1845.73,Shopping
2095,1110,2023-08-15,-1718.03,Groceries
2096,1435,2023-12-27,3789.88,Salary
2097,1387,2023-04-27,2253.74,Rent
2098,1426,2023-02-12,1666.9,Utilities
2099,1275,2023-04-25,4610.46,Groceries
2100,1201,2023-10-10,-788.19,Utilities
2101,1284,2023-02-06,-194.2,Groceries
2102,1468,2023-10-29,3297.17,Transfer
2103,1173,2023-04-23,3426.65,Utilities
2104,1327,2023-02-04,834.28,Utilities
2105,1206,2023-05-12,4656.85,Transfer
2106,1063,2023-12-02,4567.78,Shopping
2107,1073,2023-12-02,-1913.13,Rent
2108,1251,2023-08-16,-793.7,Utilities
2109,1124,2023-05-27,3741.54,Utilities
2110,1375,2023-05-02,346.52,Rent
2111,1121,2023-03-22,-1331.76,Rent
2112,1275,2023-06-22,3494.99,Dining
2113,1431,2023-06-03,1182.08,Dining
2114,1500,2023-05-30,1446.88,Shopping
2115,1398,2023-02-27,-695.41,Rent
2116,1120,2023-03-04,2626.27,Transfer
2117,1422,2023-06-05,1858.69,Salary
2118,1437,2023-12-22,-553.29,Shopping
2119,1317,2023-11-18,382.32,Groceries
2120,1164,2023-06-17,2178.16,Rent
2121,1424,2023-06-15,4474.11,Dining
2122,1465,2023-03-26,4442.63,Utilities
2123,1286,2023-05-17,15.34,Rent
2124,1265,2023-07-08,3149.35,Rent
2125,1320,2023-01-02,3428.63,Dining
2126,1161,2023-04-16,3661.76,Dining
2127,1376,2023-12-30,1995.34,Salary
2128,1308,2023-03-13,-1926.44,Shopping
2129,1089,2023-05-06,3331.73,Dining
2130,1142,2023-06-19,-1253.82,Dining
2131,1203,2023-07-24,-1181.9,Dining
2132,1309,2023-11-09,2239.37,Shopping
2133,1227,2023-12-03,4884.64,Utilities
2134,1489,2023-07-14,-302.22,Rent
2135,1443,2023-06-07,2520.68,Rent
2136,1334,2023-05-21,125.58,Dining
2137,1222,2023-10-02,4291.08,Transfer
2138,1041,2023-01-07,2154.62,Transfer
2139,1196,2023-02-23,-547.66,Shopping
2140,1068,2023-04-14,-165.08,Salary
2141,1476,2023-12-08,1027.37,Dining
2142,1264,2023-12-04,-1145.7,Shopping
2143,1002,2023-03-02,-1448.87,Shopping
2144,1361,2023-03-28,2760.43,Salary
2145,1125,2023-09-15,850.16,Shopping
2146,1110,2023-06-27,3083.58,Rent
2147,1086,2023-08-30,-1229.59,Salary
2148,1425,2023-07-22,2269.06,Salary
2149,1120,2023-01-31,1103.15,Groceries
2150,1127,2023-10-16,-1594.01,Salary
2151,1255,2023-03-21,1813.61,Salary
2152,1183,2023-01-11,-1420.37,Utilities
2153,1016,2023-09-11,3794.04,Rent
2154,1477,2023-10-14,2423.7,Dining
2155,1062,2023-06-25,1898.77,Groceries
2156,1369,2023-05-06,-1065.72,Salary
2157,1432,2023-02-16,12.2,Utilities
2158,1158,2023-07-25,1450.13,Utilities
2159,1268,2023-04-17,2432.98,Shopping
2160,1035,2023-10-02,-717.38,Dining
2161,1267,2023-12-03,-1937.94,Dining
2162,1064,2023-05-03,413.32,Transfer
2163,1494,2023-05-14,1380.1,Rent
2164,1050,2023-04-17,-708.97,Transfer
2165,1469,2023-11-01,1445.16,Shopping
2166,1255,2023-11-25,369.4,Salary
2167,1149,2023-02-19,1185.63,Utilities
2168,1325,2023-12-03,432.2,Groceries
2169,1304,2023-04-05,2399.27,Rent
2170,1276,2023-09-25,-1699.72,Salary
2171,1357,2023-01-23,-803.66,Shopping
2172,1451,2023-02-23,1029.26,Dining
2173,1172,2023-09-11,494.08,Shopping
2174,1417,2023-08-23,741.42,Salary
2175,1201,2023-02-28,3626.32,Shopping
2176,1445,2023-06-13,4204.32,Dining
2177,1393,2023-09-16,-259.32,Salary
2178,1324,2023-11-10,3854.74,Groceries
2179,1035,2023-08-04,1211.53,Transfer
2180,1465,2023-07-02,-83.26,Rent
2181,1482,2023-02-26,4898.19,Shopping
2182,1216,2023-05-25,3773.61,Dining
2183,1480,2023-03-31,4959.77,Groceries
2184,1065,2023-11-07,-822.66,Utilities
2185,1008,2023-02-14,-993.1,Groceries
2186,1301,2023-09-14,1523.65,Groceries
2187,1343,2023-01-21,2470.51,Groceries
2188,1431,2023-01-21,-802.58,Dining
2189,1424,2023-02-21,4023.01,Utilities
2190,1332,2023-12-04,1724.09,Rent
2191,1438,2023-06-20,876.59,Groceries
2192,1076,2023-03-08,2214.38,Dining
2193,1174,2023-04-23,2444.68,Dining
2194,1047,2023-10-27,-1700.52,Rent
2195,1015,2023-06-09,4999.25,Transfer
2196,1361,2023-09-23,547.44,Salary
2197,1147,2023-11-16,-1569.2,Utilities
2198,1026,2023-08-20,3966.26,Utilities
2199,1308,2023-11-21,4951.13,Shopping
2200,1093,2023-03-09,3714.51,Groceries
2201,1406,2023-01-28,3963.18,Salary
2202,1232,2023-04-26,2381.55,Transfer
2203,1021,2023-02-20,4456.28,Utilities
2204,1307,2023-06-30,-1749.83,Transfer
2205,1038,2023-09-17,3367.07,Shopping
2206,1276,2023-03-20,2694.97,Groceries
2207,1157,2023-09-30,-1652.91,Salary
2208,1179,2023-04-18,1807.82,Dining
2209,1132,2023-03-15,1605.42,Groceries
2210,1311,2023-06-24,2840.74,Salary
2211,1455,2023-07-03,-1457.28,Rent
2212,1348,2023-01-23,3636.95,Utilities
2213,1028,2023-10-01,-1024.18,Transfer
2214,1260,2023-05-09,930.65,Groceries
2215,1406,2023-10-18,4169.02,Shopping
2216,1076,2023-11-16,1923.72,Dining
2217,1429,2023-07-05,657.14,Shopping
2218,1067,2023-02-28,-1662.58,Transfer
2219,1342,2023-01-01,2705.91,Groceries
2220,1492,2023-05-11,4905.83,Utilities
2221,1194,2023-03-08,4382.57,Utilities
2222,1472,2023-10-20,3021.07,Salary
2223,1162,2023-10-12,-1262.95,Shopping
2224,1347,2023-03-30,-323.92,Shopping
2225,1439,2023-04-10,-692.06,Dining
2226,1361,2023-07-08,488.23,Transfer
2227,1257,2023-12-12,-351.38,Salary
2228,1072,2023-08-29,-288.92,Dining
2229,1087,2023-09-27,2317.11,Groceries
2230,1422,2023-08-07,230.92,Groceries
2231,1262,2023-06-25,2740.14,Shopping
2232,1214,2023-12-07,4635.23,Transfer
2233,1153,2023-08-21,2469.35,Salary
2234,1210,2023-05-31,3261.6,Transfer
2235,1401,2023-10-04,3261.06,Rent
2236,1061,2023-08-17,314.92,Utilities
2237,1268,2023-06-20,-1895.29,Transfer
2238,1262,2023-08-11,-1614.66,Salary
2239,1218,2023-08-01,-25.58,Transfer
2240,1283,2023-10-09,2826.8,Salary
2241,1136,2023-02-10,4346.78,Groceries
2242,1467,2023-05-02,4711.59,Utilities
2243,1380,2023-08-15,-1819.06,Transfer
2244,1362,2023-10-21,4930.61,Transfer
2245,1449,2023-03-29,257.48,Transfer
2246,1441,2023-09-24,3900.69,Salary
2247,1093,2023-01-29,-737.93,Transfer
2248,1109,2023-09-04,-1559.71,Groceries
2249,1241,2023-11-12,648.49,Groceries
2250,1355,2023-09-01,4012.48,Shopping
2251,1424,2023-03-02,-454.23,Shopping
2252,1142,2023-05-27,-922.3,Salary
2253,1291,2023-06-23,4368.63,Salary
2254,1432,2023-10-05,4568.36,Groceries
2255,1237,2023-11-30,-1912.16,Shopping
2256,1340,2023-05-22,3092.05,Transfer
2257,1312,2023-02-13,164.45,Transfer
2258,1177,2023-05-24,622.93,Salary
2259,1141,2023-12-19,1283.72,Utilities
2260,1189,2023-11-29,987.54,Groceries
2261,1486,2023-02-24,1604.82,Groceries
2262,1049,2023-11-03,2076.53,Salary
2263,1302,2023-12-24,1259.17,Salary
2264,1369,2023-06-10,2910.94,Salary
2265,1190,2023-10-12,3030.21,Transfer
2266,1136,2023-11-21,1082.51,Transfer
2267,1043,2023-07-17,-1002.76,Utilities
2268,1404,2023-06-08,2484.47,Groceries
2269,1380,2023-03-21,3410.7,Rent
2270,1353,2023-01-31,2466.77,Utilities
2271,1090,2023-04-22,2116.38,Utilities
2272,1295,2023-02-15,-394.12,Transfer
2273,1341,2023-12-19,2515.96,Shopping
2274,1245,2023-07-24,343.99,Groceries
2275,1433,2023-02-21,4436.91,Transfer
2276,1192,2023-05-18,2576.04,Rent
2277,1318,2023-03-15,-52.74,Groceries
2278,1106,2023-02-10,1310.49,Utilities
2279,1363,2023-03-18,3926.07,Salary
2280,1310,2023-07-06,348.25,Groceries
2281,1382,2023-02-21,1678.08,Groceries
2282,1233,2023-03-28,2757.69,Salary
2283,1265,2023-04-19,3281.71,Rent
2284,1344,2023-08-13,-782.75,Rent
2285,1037,2023-09-05,1956.07,Groceries
2286,1305,2023-03-10,4385.4,Transfer
2287,1041,2023-04-30,4778.52,Salary
2288,1017,2023-03-08,2593.02,Shopping
2289,1344,2023-03-02,4885.63,Groceries
2290,1277,2023-11-23,1995.15,Salary
2291,1307,2023-07-10,1098.24,Utilities
2292,1059,2023-07-08,1861.11,Shopping
2293,1423,2023-05-31,-1190.01,Salary
2294,1183,2023-10-13,812.01,Transfer
2295,1041,2023-04-06,1208.84,Groceries
2296,1039,2023-11-08,3940.39,Dining
2297,1397,2023-11-05,3310.54,Rent
2298,1192,2023-09-20,2209.99,Groceries
2299,1267,2023-04-07,430.94,Salary
2300,1494,2023-04-23,-690.76,Shopping
2301,1147,2023-05-05,434.36,Shopping
2302,1395,2023-05-12,2758.63,Salary
2303,1333,2023-05-01,-158.74,Rent
2304,1127,2023-07-16,988.21,Groceries
2305,1046,2023-10-21,707.39,Shopping
2306,1045,2023-05-02,3359.13,Shopping
2307,1001,2023-10-09,4186.51,Dining
2308,1168,2023-09-17,2895.6,Utilities
2309,1108,2023-02-08,391.22,Dining
2310,1019,2023-02-23,1032.24,Utilities
2311,1332,2023-06-10,-996.55,Shopping
2312,1072,2023-10-16,-823.32,Utilities
2313,1456,2023-07-19,-849.95,Groceries
2314,1445,2023-10-03,-1085.9,Shopping
2315,1109,2023-01-16,-742.93,Shopping
2316,1268,2023-06-22,-581.18,Utilities
2317,1445,2023-09-05,-1217.08,Salary
2318,1240,2023-08-06,2481.83,Utilities
2319,1417,2023-03-28,4932.81,Utilities
2320,1301,2023-03-23,4154.31,Rent
2321,1090,2023-03-03,-1680.78,Rent
2322,1103,2023-10-14,961.41,Groceries
2323,1476,2023-02-11,4015.17,Groceries
2324,1250,2023-01-12,-1057.28,Salary
2325,1453,2023-11-17,3933.52,Rent
2326,1008,2023-08-22,2148.9,Dining
2327,1153,2023-11-25,4519.09,Groceries
2328,1347,2023-05-11,4132.27,Groceries
2329,1174,2023-04-25,2739.24,Rent
2330,1343,2023-08-06,2604.76,Rent
2331,1158,2023-05-17,-507.85,Salary
2332,1493,2023-04-16,-1182.73,Rent
2333,1431,2023-06-28,907.75,Transfer
2334,1215,2023-01-16,-693.94,Utilities
2335,1177,2023-08-30,-1283.08,Shopping
2336,1175,2023-11-30,116.29,Dining
2337,1340,2023-08-14,4023.43,Shopping
2338,1338,2023-08-30,-1879.96,Utilities
2339,1146,2023-05-21,48.46,Transfer
2340,1450,2023-07-18,968.37,Transfer
2341,1324,2023-04-22,1573.99,Utilities
2342,1478,2023-05-07,-728.96,Shopping
2343,1161,2023-01-21,4749.54,Utilities
2344,1127,2023-05-27,2052.11,Groceries
2345,1420,2023-03-30,1654.77,Transfer
2346,1082,2023-10-30,-1938.24,Shopping
2347,1485,2023-07-22,1400.01,Utilities
2348,1147,2023-03-26,3863.69,Groceries
2349,1239,2023-06-16,-462.49,Rent
2350,1412,2023-03-13,458.45,Transfer
2351,1424,2023-10-25,-1856.0,Dining
2352,1084,2023-01-09,4838.49,Dining
2353,1113,2023-10-08,-1533.44,Utilities
2354,1225,2023-09-15,4287.55,Dining
2355,1332,2023-10-02,190.91,Groceries
2356,1378,2023-08-26,2112.89,Rent
2357,1243,2023-01-20,2755.21,Utilities
2358,1143,2023-08-21,-1014.2,Salary
2359,1041,2023-08-09,1106.32,Shopping
2360,1423,2023-11-22,278.26,Transfer
2361,1258,2023-01-17,-1603.78,Dining
2362,1447,2023-03-30,3832.36,Dining
2363,1285,2023-07-15,-1683.83,Utilities
2364,1105,2023-12-16,2572.81,Shopping
2365,1202,2023-03-25,198.54,Shopping
2366,1450,2023-03-28,-655.09,Dining
2367,1307,2023-11-03,2669.6,Dining
2368,1331,2023-12-04,2021.76,Salary
2369,1461,2023-06-03,206.79,Shopping
2370,1266,2023-08-16,1590.73,Groceries
2371,1398,2023-09-21,-276.34,Transfer
2372,1210,2023-08-11,4045.88,Utilities
2373,1051,2023-05-01,196.73,Utilities
2374,1118,2023-06-22,-283.93,Salary
2375,1201,2023-01-04,3262.84,Transfer
2376,1377,2023-12-08,-1876.85,Salary
2377,1039,2023-05-08,-123.92,Groceries
2378,1028,2023-04-20,627.77,Rent
2379,1259,2023-12-21,4175.67,Utilities
2380,1084,2023-02-06,4653.09,Shopping
2381,1454,2023-03-12,3015.35,Transfer
2382,1155,2023-10-16,1447.72,Dining
2383,1117,2023-01-31,2484.35,Transfer
2384,1002,2023-09-25,898.01,Groceries
2385,1093,2023-01-11,91.78,Utilities
2386,1166,2023-12-10,4654.82,Shopping
2387,1387,2023-11-24,-1192.27,Groceries
2388,1400,2023-02-01,424.75,Rent
2389,1350,2023-02-26,4293.62,Shopping
2390,1296,2023-06-15,3061.99,Utilities
2391,1258,2023-07-07,-1796.29,Transfer
2392,1081,2023-12-08,-1838.3,Dining
2393,1425,2023-01-19,1615.59,Shopping
2394,1268,2023-04-26,1389.77,Utilities
2395,1419,2023-07-03,1100.94,Groceries
2396,1235,2023-09-27,116.41,Rent
2397,1321,2023-02-02,4906.47,Shopping
2398,1311,2023-01-10,-96.09,Groceries
2399,1301,2023-03-21,1430.28,Groceries
2400,1463,2023-07-11,834.25,Salary
2401,1474,2023-11-16,-808.25,Groceries
2402,1357,2023-07-09,-581.67,Transfer
2403,1213,2023-03-09,4428.12,Shopping
2404,1062,2023-12-14,4007.96,Rent
2405,1049,2023-05-05,-606.69,Dining
2406,1127,2023-12-02,4129.64,Salary
2407,1223,2023-02-28,-535.7,Groceries
2408,1409,2023-04-07,2385.82,Shopping
2409,1279,2023-10-02,-1431.04,Transfer
2410,1408,2023-05-29,4162.59,Transfer
2411,1294,2023-10-05,-1639.5,Transfer
2412,1284,2023-09-22,1884.6,Utilities
2413,1277,2023-01-09,3457.98,Salary
2414,1438,2023-10-10,-1182.16,Rent
2415,1107,2023-09-30,831.36,Utilities
2416,1146,2023-10-28,-1706.35,Rent
2417,1420,2023-01-08,2779.27,Utilities
2418,1099,2023-07-27,152.15,Dining
2419,1429,2023-05-05,1915.77,Rent
2420,1375,2023-05-03,4529.13,Utilities
2421,1073,2023-02-02,141.01,Transfer
2422,1437,2023-01-01,-1659.61,Rent
2423,1486,2023-07-23,2729.39,Salary
2424,1122,2023-01-06,3507.89,Rent
2425,1030,2023-10-24,4705.08,Shopping
2426,1188,2023-01-05,-895.39,Rent
2427,1364,2023-03-21,744.98,Utilities
2428,1354,2023-10-01,3908.98,Rent
2429,1288,2023-06-26,3648.1,Dining
2430,1451,2023-12-04,2373.57,Groceries
2431,1195,2023-11-17,-114.42,Salary
2432,1156,2023-12-05,-11.75,Shopping
2433,1172,2023-05-16,-1131.98,Transfer
2434,1335,2023-01-25,4452.98,Utilities
2435,1041,2023-11-21,-789.48,Transfer
2436,1063,2023-07-02,2010.21,Transfer
2437,1023,2023-06-17,2090.46,Rent
2438,1360,2023-12-04,587.24,Rent
2439,1075,2023-06-27,467.63,Rent
2440,1048,2023-04-05,2680.12,Salary
2441,1160,2023-02-02,718.08,Shopping
2442,1313,2023-04-21,-214.19,Groceries
2443,1118,2023-05-26,793.92,Dining
2444,1100,2023-08-19,3653.63,Shopping
2445,1380,2023-09-29,4765.35,Dining
2446,1417,2023-12-02,2451.65,Transfer
2447,1408,2023-02-07,3474.71,Shopping
2448,1167,2023-05-15,1729.77,Utilities
2449,1290,2023-11-30,2373.76,Groceries
2450,1440,2023-08-23,4916.61,Groceries
2451,1156,2023-11-15,1068.93,Salary
2452,1421,2023-12-11,-1536.22,Shopping
2453,1007,2023-06-09,4699.05,Rent
2454,1196,2023-02-07,3551.43,Groceries
2455,1421,2023-05-30,788.17,Shopping
2456,1056,2023-11-04,4876.77,Rent
2457,1321,2023-01-29,418.75,Salary
2458,1193,2023-05-24,604.84,Transfer
2459,1047,2023-03-17,2268.12,Transfer
2460,1148,2023-05-25,-79.57,Shopping
2461,1275,2023-08-17,2890.0,Shopping
2462,1157,2023-03-05,-930.05,Utilities
2463,1202,2023-12-13,-1243.82,Shopping
2464,1444,2023-12-11,1744.15,Utilities
2465,1402,2023-09-26,1888.46,Rent
2466,1476,2023-11-24,-1253.41,Transfer
2467,1419,2023-07-03,4749.23,Rent
2468,1427,2023-09-18,2013.01,Transfer
2469,1495,2023-09-25,-942.76,Transfer
2470,1479,2023-06-18,180.1,Groceries
2471,1475,2023-09-16,3601.64,Salary
2472,1126,2023-08-15,1662.62,Utilities
2473,1395,2023-02-02,-682.96,Transfer
2474,1305,2023-08-02,-1280.06,Groceries
2475,1369,2023-02-19,1015.42,Dining
2476,1294,2023-07-29,361.9,Groceries
2477,1064,2023-01-29,2591.42,Rent
2478,1325,2023-02-08,4476.73,Dining
2479,1392,2023-12-13,-265.89,Groceries
2480,1418,2023-04-10,3986.64,Shopping
2481,1176,2023-06-22,4443.23,Salary
2482,1116,2023-01-17,4314.02,Utilities
2483,1440,2023-02-25,4664.54,Shopping
2484,1204,2023-08-14,3894.76,Dining
2485,1486,2023-02-15,2154.4,Transfer
2486,1321,2023-03-08,868.92,Salary
2487,1031,2023-07-16,1441.81,Transfer
2488,1388,2023-05-22,4108.29,Groceries
2489,1113,2023-11-19,109.79,Shopping
2490,1365,2023-01-23,-885.17,Rent
2491,1434,2023-04-04,-1014.27,Rent
2492,1325,2023-08-30,3788.96,Salary
2493,1414,2023-08-25,3330.4,Rent
2494,1376,2023-02-23,1483.52,Utilities
2495,1344,2023-05-18,-75.9,Transfer
2496,1443,2023-11-29,2743.29,Salary
2497,1067,2023-09-29,-1730.97,Salary
2498,1075,2023-02-10,1977.59,Rent
2499,1045,2023-04-08,788.98,Salary
2500,1260,2023-07-02,4845.02,Groceries
2501,1154,2023-05-08,1552.92,Dining
2502,1155,2023-08-17,1865.87,Shopping
2503,1430,2023-11-13,2986.54,Dining
2504,1363,2023-03-27,1391.77,Transfer
2505,1448,2023-09-13,-428.02,Shopping
2506,1475,2023-07-28,1760.94,Rent
2507,1234,2023-08-03,4609.88,Utilities
2508,1051,2023-04-10,869.38,Utilities
2509,1306,2023-02-18,2757.49,Rent
2510,1262,2023-07-20,4846.24,Transfer
2511,1315,2023-09-15,3809.46,Rent
2512,1125,2023-06-27,2613.24,Salary
2513,1399,2023-09-02,3151.98,Utilities
2514,1245,2023-05-03,4555.38,Dining
2515,1030,2023-12-08,4718.26,Rent
2516,1426,2023-06-20,4782.78,Transfer
2517,1485,2023-11-29,2379.49,Transfer
2518,1122,2023-05-16,692.98,Dining
2519,1125,2023-02-28,-1067.93,Shopping
2520,1037,2023-07-12,698.84,Dining
2521,1170,2023-09-25,4600.69,Transfer
2522,1124,2023-09-17,4228.58,Utilities
2523,1357,2023-04-05,1665.62,Shopping
2524,1035,2023-05-05,1759.05,Dining
2525,1087,2023-02-10,162.44,Salary
2526,1134,2023-09-11,1181.56,Salary
2527,1196,2023-01-07,3001.14,Utilities
2528,1274,2023-08-04,817.02,Salary
2529,1201,2023-03-10,-684.11,Rent
2530,1369,2023-03-10,1786.02,Shopping
2531,1285,2023-03-22,-422.64,Utilities
2532,1077,2023-01-30,4820.01,Shopping
2533,1059,2023-03-14,732.38,Transfer
2534,1431,2023-09-19,4367.65,Dining
2535,1126,2023-03-30,-421.12,Rent
2536,1500,2023-07-27,-675.54,Utilities
2537,1401,2023-08-01,2318.31,Dining
2538,1109,2023-11-18,3455.65,Dining
2539,1224,2023-09-23,1967.35,Dining
2540,1496,2023-10-20,-391.43,Dining
2541,1278,2023-07-26,-1734.74,Dining
2542,1068,2023-11-29,2328.02,Utilities
2543,1069,2023-03-18,-1082.74,Salary
2544,1165,2023-10-15,402.23,Dining
2545,1489,2023-02-16,2730.49,Transfer
2546,1305,2023-04-20,-1313.84,Transfer
2547,1397,2023-07-19,-1109.24,Rent
2548,1162,2023-07-29,-1568.34,Utilities
2549,1365,2023-06-03,4972.55,Groceries
2550,1342,2023-01-10,709.54,Salary
2551,1309,2023-12-19,4340.57,Rent
2552,1379,2023-06-06,55.1,Transfer
2553,1343,2023-09-18,3272.42,Dining
2554,1435,2023-03-18,-466.53,Utilities
2555,1387,2023-09-14,1488.27,Utilities
2556,1042,2023-05-11,3772.31,Dining
2557,1354,2023-03-08,3714.34,Transfer
2558,1416,2023-08-16,3559.97,Rent
2559,1109,2023-06-12,3766.14,Utilities
2560,1051,2023-01-15,-519.69,Shopping
2561,1250,2023-08-20,1375.51,Transfer
2562,1497,2023-07-14,1394.1,Transfer
2563,1341,2023-12-15,4233.52,Salary
2564,1430,2023-01-30,78.24,Rent
2565,1383,2023-12-25,4520.47,Transfer
2566,1492,2023-12-04,1155.57,Dining
2567,1021,2023-11-27,2688.51,Transfer
2568,1300,2023-11-12,-117.82,Rent
2569,1139,2023-10-23,872.09,Shopping
2570,1359,2023-11-26,2968.61,Transfer
2571,1324,2023-08-08,1589.23,Rent
2572,1499,2023-05-27,4514.96,Transfer
2573,1385,2023-09-16,3159.87,Groceries
2574,1092,2023-10-19,1950.82,Dining
2575,1447,2023-10-26,4206.69,Salary
2576,1280,2023-05-23,2658.89,Dining
2577,1125,2023-08-23,2531.24,Groceries
2578,1483,2023-04-25,-275.4,Dining
2579,1397,2023-12-31,764.0,Dining
2580,1111,2023-03-31,2783.13,Salary
2581,1354,2023-07-27,4242.54,Groceries
2582,1139,2023-06-13,208.83,Dining
2583,1484,2023-03-25,-491.6,Shopping
2584,1435,2023-03-18,2155.87,Transfer
2585,1273,2023-06-10,-1529.62,Dining
2586,1099,2023-01-05,3001.79,Utilities
2587,1252,2023-03-19,2921.97,Dining
2588,1338,2023-04-01,484.76,Salary
2589,1104,2023-03-28,4248.74,Utilities
2590,1214,2023-09-27,1515.27,Shopping
2591,1249,2023-04-14,2520.35,Transfer
2592,1152,2023-12-05,-532.95,Shopping
2593,1250,2023-06-24,921.38,Shopping
2594,1275,2023-02-23,4036.92,Groceries
2595,1165,2023-07-30,-509.42,Shopping
2596,1487,2023-04-05,734.02,Rent
2597,1341,2023-08-11,226.54,Salary
2598,1008,2023-01-09,-942.23,Groceries
2599,1284,2023-02-22,28.03,Utilities
2600,1005,2023-03-18,-370.59,Rent
2601,1145,2023-07-25,4465.16,Groceries
2602,1101,2023-11-12,3187.55,Salary
2603,1164,2023-10-29,212.71,Utilities
2604,1374,2023-11-06,3343.37,Salary
2605,1147,2023-11-26,-1845.02,Salary
2606,1064,2023-04-22,1685.67,Utilities
2607,1091,2023-12-17,-247.66,Shopping
2608,1117,2023-06-14,-1199.75,Dining
2609,1354,2023-10-06,4186.31,Salary
2610,1267,2023-01-27,-604.62,Shopping
2611,1310,2023-03-11,3756.74,Transfer
2612,1173,2023-08-06,892.56,Utilities
2613,1047,2023-12-31,-1899.96,Salary
2614,1140,2023-07-08,3127.73,Dining
2615,1246,2023-11-29,2174.52,Transfer
2616,1149,2023-11-02,409.2,Utilities
2617,1246,2023-05-04,-29.18,Groceries
2618,1395,2023-01-19,-1484.16,Groceries
